product_name,brand-name,rating,ingredients,product_url
Hydrate Shampoo,Pureology,4.5,"Aqua/Water/Eau, Sodium Cocoyl Isethionate, Disodium Laureth, Sulfosuccinate, Sodium Lauryl Sulfoacetate, Sodium Lauroyl, Sarcosinat, Glycol Distearate, Cocamidopropyl Betaine, Glycereth-26, Decyl Glucoside, Coconut Acid, Sodium Hydroxide, Sodium Isethionate, Parfum/Fragrance, Citric Acid, Ppg-5-Ceteth-20, Divinyldimethicone/Dimethicone Copolymer, Sodium Chloride, Polyquaternium-7, Amodimethicone, Coco-Betaine, Polyquaternium-10, Propylene Glycol, Peg-55 Propylene Glycol Oleate, Linalool, Carbomer, C11-15 Pareth-7, Benzoic Acid, Laureth-9, Butylene Glycol, Glycerin, Limonene, Geraniol, Tocopherol, Benzyl Alcohol, Trideceth-12, Salicylic Acid, Sodium Benzoate, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Magnesium Nitrate, C12-13 Pareth-23, C12-13 Pareth-3, Benzophenone-4, Tetrasodium Edta, Phenoxyethanol, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Wheat Amino Acids, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Ci 60730/Ext. Violet 2, Methylchloroisothiazolinone, Hydrolyzed Soy Protein, Sorbic Acid, Magnesium Chloride, Methylisothiazolinone, Potassium Sorbate, Disodium Edta, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Ascorbic Acid, Camellia Sinensis Leaf Extract, Rosa Centifolia Flower Extract, Aloe Barbadensis Leaf Extract.",https://www.ulta.com/p/hydrate-shampoo-pimprod2017791
Miracle Leave-In Product,It's A 10,4.6,"Water (Aqua, Eau), Propylene Glycol, Cetearyl Alcohol, Cyclopentasiloxane, Behentrimonium Chloride, Panthenol, Silk Amino Acids, Aloe Barbadensis Leaf Juice, Camellia Sinensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Extract, Quaternium-80, Butylene Glycol, Phenoxyethanol, Methylparaben, Propylparaben, Ethylparaben, Fragrance (Parfum), Citronellol, Hexyl Cinnamal, Limonene, Linalool",https://www.ulta.com/p/miracle-leave-in-product-xlsImpprod6481230
No.4 Bond Maintenance Shampoo,OLAPLEX,4.3,"Water (Aqua/Eau), Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Potassium Cocoyl Glycinate, Disodium Cocoyl Glutamate, Sodium Lauroyl Sarcosinate, Potassium Cocoate, Decyl Glucoside, Glycereth-26, Bis-Aminopropyl Diglycol Dimaleate, Cocamidopropylamine Oxide, Disodium Laureth Sulfosuccinate, Glycol Distearate, Sodium Cocoyl Glutamate, Methyl Gluceth-20, Acrylates Copolymer, PEG-120 Methyl Glucose Dioleate, Amodimethicone, Citric Acid, Sodium Lauryl Sulfoacetate, Polyquaternium-10, Ethylhexylglycerin, DivinylDimethicone/Dimethicone Copolymer, Polyquaternium-11, Trisodium Ethylenediamine Disuccinate, Guar Hydroxypropyltrimonium Chloride, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, C12-13 Pareth-23, C12-13 Pareth-3, Hydrolyzed Vegetable Protein, PG-Propyl Silanetriol, Panthenol, Acetic Acid, Tetrasodium EDTA, Pentasodium Triphosphate, Sodium Hydroxide, Disodium EDTA, Helianthus Annus (Sunflower) Seed Oil, Tocopherol, Prunus Armeniaca (Apricot) Kernel Oil, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Euterpe Oleracea Fruit Extract, Punica Granatum Extract, Rosemarinus Officinalis (Rosemary) Leaf Extract, Musa Sapientum (Banana) Fruit Extract, Origanum Vulgare Lear Extract, Morinda Citrifolia Fruit Extract, Articum Lappa Root Extract, PEG-8/SMDI Copolymer, Sodium Hyaluronate, Palmitoyl Myristyl Serinate, Sodium Polyacrylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Biotin, Benzoic Acid, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Fragrance(Parfum), Citral, Hexyl Cinnamal, Limonene.",https://www.ulta.com/p/no4-bond-maintenance-shampoo-pimprod2029348
"HG Shampoo for Thicker, Stronger, Fuller-Looking Hair",Bondi Boost,4.7,"Aloe Barbadensis (Aloe Vera) Leaf Juice*, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Decyl Glucoside, Coco-Glucoside, Glyceryl Oleate, Propanediol, Hydrolyzed Quinoa,Polyquaternium-10, Potassium Sorbate, Olea Europaea (Olive) Fruit Oil*, Mentha Piperita (Peppermint) Leaf Oil*, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil*, Mentha Arvensis*, Hydrolyzed Jojoba Esters, Linum Usitatissmum (Linseed) Seed Oil*, Squalane, Helianthus Annuus (Sunflower) Seed Oil*, Queensland Nut (Macadamia Ternifolia) Seed Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Serenoa Serrulata (Saw Palmetto) Fruit Extract*, Hibiscus Sabdariffa Flower Extract (Roselle), Hylocereus Undatus Fruit (Dragonfruit) Extract*, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Procapil, Redensyl, Pentylene Glycol, Caprylyl Glycol, Ethylhexyglycerin, Citric Acid.,*Certified Organic Ingredients.",https://www.ulta.com/p/hg-shampoo-thicker-stronger-fuller-looking-hair-pimprod2014466
No.5 Bond Maintenance Conditioner,OLAPLEX,4.4,"Water (Aqua/Eau), Cetearyl Alcohol, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Cetyl Alcohol,Octyldodecyl Ricinoleate, Quaternium-91, Cetrimonium Chloride, Divinyldimethicone/Dimethicone Copolymer, Behentrimonium Chloride, Glycerin, Isododecane, Cetyl Esters, Bis-Aminopropyl Diglycol Dimaleate, Panthenol, Phospholipds, Dimethicone PEG-7 Isostearate, Hydroxypropyl Guar, Glycine Soya (Soybean) Oil, PEG-45M, PEG-7 Amodimethicone, Amodimethicone, C12-13 Pareth-23, C12-13 Pareth-3, Disodium EDTA, Polysilicone-15, Camellia Sinensis Seed Oil, C11-15 Pareth-7, Sodium Polyaspartate, Hydroxypropyl Cyclodextrin, Crambe Abyssinica Seed Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Laureth-9, Trideceth-12, Butylene Glycol, Citric Acid, Ahnfeltiopsis Concinna Extract, Silica, Acetic Acid, Etidronic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Glycol, Sodium Acetate, PEG-4 Laurate, PEG-4 Dilaurate, BHT, Hydrolyzed Hyaluronic Acid, PEG-4, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Tocopheryl Linoleate/Oleate, Helianthus Annus (Sunflower) Seed Oil, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Punica Granatum Extract, Morinda Citrifolia Fruit Extract, Euterpe Oleracea Fruit Extract, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium, Polyacrylate, Tocopherol, Biotin, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iodpropynyl Butylcarbamate, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene.",https://www.ulta.com/p/no5-bond-maintenance-conditioner-pimprod2029349
Acidic Bonding Concentrate Shampoo,Redken,4.5,"Aqua/Water/Eau, Decyl Glucoside, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Citric Acid, Sodium Hydroxide, Panthenol, Glycerin, Dimethicone, PEG-150 Distearate, Ppg-5-Ceteth-20, Sodium Benzoate, Sodium Chloride, Peg-55 Propylene Glycol Oleate, Propylene Glycol, Carbomer, Parfum/Fragrance, Coco-Caprylate/Caprate, Polyquaternium-67, Salicylic Acid, Amodimethicone, Sodium Phytate, Glycol Distearate, Coco-Betaine, Acrylates/Beheneth-25 Methacrylate Copolymer, Limonene, Trideceth-6.",https://www.ulta.com/p/acidic-bonding-concentrate-shampoo-pimprod2022376
Miracle Leave-In Lite,It's A 10,4.6,"Water/Aqua/Eau, Propylene Glycol, Cetearyl Alcohol, Cyclopentasiloxane, Behentrimonium Chloride, Althea Officinalis Root Extract, Euterpe Oleracea Fruit Extract, Anthemis Nobilis Flower Extract, Camelia Sinensis Leaf Extract, Camelia Oleifera Leaf Extract, Hydrolyzed Rice Protein, Hydrolyzed Silk, Helianthus Annuus (Sunflower) Seed Extract, Quaternium-80, Panthenol, Fragrance/Parfum, Methylparaben, Glycerin, Butylene Glycol, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Butylphenyl Methylipropional, Linalool, Citronellol, Hexyl Cinnamal, Limonene, Alpha Isomethyl Ionone, Methylchloriosothiazolinone, Methylisothiazolinone.",https://www.ulta.com/p/miracle-leave-in-lite-xlsImpprod6481236
Hydrate Conditioner,Pureology,4.6,"Aqua/Water/Eau, Cetearyl Alcohol, Amodimethicone, Behentrimonium Chloride, Cetyl Esters, Isopropyl Alcohol, Mentha Arvensis Leaf Oil, Phenoxyethanol, Parfum/Fragrance, Trideceth-6, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Glycine Soja Oil/Soybean Oil, Tocopherol, Panthenol, Butyrospermum Parkii Butter/Shea Butter, Cetrimonium Chloride, Butylene Glycol Menthol, Simmondsia Chinensis Butter/Jojoba Butter, Limonene, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Chlorhexidine Dihydrochloride, Camellia Sinensis Leaf Extract, Rosmarinus Officinalis Leaf Extract/Rosemary Leaf Extract, Salvia Officinalis, Leaf Extract/Sage Leaf Extract, Hydrolyzed Soy Protein, Benzophenone-4, Linalool, Pentylene Glycol, Wheat Amino Acids, Sodium Chloride, Mentha Piperita Extract/Peppermint Extract, Ascorbic Acid, Potassium Sorbate, Disodium EDTA.",https://www.ulta.com/p/hydrate-conditioner-xlsImpprod3410045
Deep Clean Dry Shampoo,Redken,4.5,"Isobutane, Alcohol Denat., Dimethylimidazolidinone Rice Starch, Aluminum Starch Octenylsuccinate, Parfum/Fragrance, Acrylates Copolymer, Magnesium Carbonate, VP/VA Copolymer, Alpha-Isomethyl Ionone, Linalool, Hydroxycitronellal, Hexyl Cinnamal, T-Butyl Alcohol, Citronellol, Geraniol, Denatonium Benzoate, Limonene, Benzyl Alcohol, Tetrahexyldecyl Ascorbate, Panthenol, Aqua/Water/Eau, Isoeugenol, Cinnamyl Alcohol, Pentylene Glycol, Rhodiola Rosea Root Extract.",https://www.ulta.com/p/deep-clean-dry-shampoo-pimprod2012990
Acidic Bonding Concentrate Conditioner,Redken,4.6,"Aqua/Water/Eau, Cetearyl Alcohol, Glycerin, Behentrimonium Chloride, Dimethicone, Bis-Cetearyl Amodimethicone, Cetyl Esters, Citric Acid, Isopropyl Alcohol, Dicetyldimonium Chloride, Parfum/Fragrance, Sodium Citrate, Phenoxyethanol, Candelilla Cera/Candelilla Wax/Cire De Candelilla, Isopropyl Myristate, Hydroxypropyl Guar, Limonene, Coco-Betaine, Amodimethicone, Cetrimonium Chloride, Dilauryl Thiodipropionate, Trideceth-10, Sodium Chloride, Linalool, PEG-100 Stearate, Citronellol, Steareth-6, Trideceth-3, Acetic Acid, Trisodium HEDTA.",https://www.ulta.com/p/acidic-bonding-concentrate-conditioner-pimprod2022377
