product_name,brand-name,rating,ingredients,product_url
No.3 Hair Perfector,OLAPLEX,4.4,"Water (Aqua/Eau), Bis-Aminopropyl Diglycol Dimaleate, Propylene Glycol, Cetearyl Alcohol, Behentrimonium Methosulfate, Cetyl Alcohol, Phenoxyethanol, Glycerin, Hydroxyethyl Ethylcellulose, Stearamidopropyl Dimethylamine , Quaternium-91, Sodium Benzoate, Cetrimonium Methosulfate, Cetrimonium Chloride, Fragrance (Parfum), Tetrasodium EDTA ,Polyquaternium-37, Benzyl Benzoate, Etidronic Acid, Ascorbic Acid, Phytantriol, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Panthenol, Simmondsia Chinensis (Jojoba) Seed Oil, Citric Acid, Potassium Sorbate",https://www.ulta.com/p/no3-hair-perfector-pimprod2029343
One United Multi-Benefit Treatment Spray,Redken,4.5,"Aqua / Water / Eau, Cocos Nucifera Oil / Coconut Oil, Amodimethicone, Polyquaternium-37, Phenoxyethanol, Propylene Glycol Dicaprylate / Dicaprate, Parfum / Fragrance, Acetamide MEA, Lactamide MEA, Dimethicone PEG-7 Phosphate, PPG-1 Trideceth-6, Trideceth-6, Behentrimonium Chloride, Xylose, Lactic Acid, Ethylhexylglycerin, Cetrimonium Chloride, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Citronellol, Geraniol, Linalool, Alpha-Isomethyl Ionone, Viola Odorata Extract, Viola Odorata Flower / Leaf Extract, Sodium Hydroxide.",https://www.ulta.com/p/one-united-multi-benefit-treatment-spray-xlsImpprod12541003
Smooth & Healthy Hair Set,OLAPLEX,4.5,"No.3 Hair Perfector: Water (Aqua/Eau), Bis-Aminopropyl Diglycol Dimaleate, Propylene Glycol, Cetearyl Alcohol, Behentrimonium Methosulfate, Cetyl Alcohol, Phenoxyethanol, Glycerin, Hydroxyethyl Ethylcellulose, Stearamidopropyl Dimethylamine , Quaternium-91, Sodium Benzoate, Cetrimonium Methosulfate, Cetrimonium Chloride, Fragrance (Parfum), Tetrasodium EDTA ,Polyquaternium-37, Benzyl Benzoate, Etidronic Acid, Ascorbic Acid, Phytantriol, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Panthenol, Simmondsia Chinensis (Jojoba) Seed Oil, Citric Acid, Potassium Sorbate,No.6 Bond Smoother: Water (Aqua/Eau) , Cetearyl Alcohol , Dimethicone , Isohexadecane , Coco-Caprylate , Neopentyl Glycol Diheptanoate , Behentrimonium Chloride, Isododecane , Phenyl Trimethicone , Propanediol , Bis-Aminopropyl Diglycol Dimaleate, Fragrance (Parfum) , Cetrimonium Chloride , Phenoxyethanol , Glyceryl Stearate , Isopropyl Alcohol , Hydroxyethylcellulose , Hydroxypropyl Guar, Sodium Stearoyl Lactylate , Hydroxypropyl Cyclodextrin , Hexyl Cinnamal , Limonene , Citral , Hydrolyzed Vegetable Protein PG-Propyl Silanetriol , Disodium EDTA , Linalool , Citronellol , Iodopropynyl Butylcarbamate , Hydroxycitronellal, Etidronic Acid, Tocopherol, Geraniol, Potassium Sorbate, Helianthus Annuus (Sunflower) Seed Oil, Phytantriol, Sodium Benzoate, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil, Aloe Barbadensis Leaf Juice, Panthenol, Citric Acid, Gigartina Stellata Extract, Chondrus Crispus (Carrageenan) Extract , Ascorbic Acid, Cocos Nucifera (Coconut) Oil",https://www.ulta.com/p/smooth-healthy-hair-set-pimprod2033873
"HG Conditioner For Thicker, Stronger, Fuller-Looking Hair",Bondi Boost,4.8,"Aloe Barbadensis (Aloe Vera) Leaf Juice*, Cetearyl Alcohol, Glycerin, Coco-Caprylate, Behentrimonium Chloride, Polyquaternium-10, Polyquaternium-7, Argania Spinosa (Argan) Kernel Oil*, Mentha Piperita (Peppermint) Leaf Oil*, Panthenol (Pro Vitamin B5), Mentha Arvensis*, Hydrolyzed Quinoa, Linum Usitatissmum (Linseed) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Squalane, Simmondsia Chinensis (Jojoba) Seed Oil*, Queensland Nut (Macadamia Ternifolia) Seed Oil*, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Hibiscus Sabdariffa Flower Extract (Roselle), Hylocereus Undatus Fruit (Dragonfruit) Extract*, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Serenoa Serrulata (Saw Palmetto) Fruit Extract*, Procapil, Redensyl, Pentylene Glycol, Caprylyl Glycol, Ethylhexyglycerin, Citric Acid.,*Certified Organic Ingredients",https://www.ulta.com/p/hg-conditioner-thicker-stronger-fuller-looking-hair-pimprod2014467
"HG Shampoo for Thicker, Stronger, Fuller-Looking Hair",Bondi Boost,4.7,"Aloe Barbadensis (Aloe Vera) Leaf Juice*, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Decyl Glucoside, Coco-Glucoside, Glyceryl Oleate, Propanediol, Hydrolyzed Quinoa,Polyquaternium-10, Potassium Sorbate, Olea Europaea (Olive) Fruit Oil*, Mentha Piperita (Peppermint) Leaf Oil*, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil*, Mentha Arvensis*, Hydrolyzed Jojoba Esters, Linum Usitatissmum (Linseed) Seed Oil*, Squalane, Helianthus Annuus (Sunflower) Seed Oil*, Queensland Nut (Macadamia Ternifolia) Seed Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract, Serenoa Serrulata (Saw Palmetto) Fruit Extract*, Hibiscus Sabdariffa Flower Extract (Roselle), Hylocereus Undatus Fruit (Dragonfruit) Extract*, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Procapil, Redensyl, Pentylene Glycol, Caprylyl Glycol, Ethylhexyglycerin, Citric Acid.,*Certified Organic Ingredients.",https://www.ulta.com/p/hg-shampoo-thicker-stronger-fuller-looking-hair-pimprod2014466
Hairdresser's Invisible Oil,Bumble and bumble,4.7,"Dimethicone, Hydrogenated Ethylhexyl Olivate, Isododecane, Dimethiconol, Vitis Vinifera (Grape) Seed Extract, Gardenia Tahitensis (Tiare) Flower Extract, Bis-Cetearyl Amodimethicone, Macadamia Ternifolia Seed Oil, Hydrogenated Olive Oil Unsaponifiables, Cocos Nucifera (Coconut) Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Argania Spinosa Kernel Oil, Carthamus Tinctorius (Safflower) Seed Oil, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Squalane, Tocopherol, Linalool, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene, Fragrance (Parfum).,Free of Sulfate Cleansers,Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/hairdressers-invisible-oil-xlsImpprod16451024
Color Fanatic Multi-Tasking Leave-In Spray,Pureology,4.6,"Aqua/Water/Eau, Cocos Nucifera Oil/Coconut Oil, Amodimethicone, Polyquaternium-37, Ppg-5-Ceteth-10 Phosphate, Phenoxyethanol, Propylene Glycol Dicaprylate/Dicaprate, Acetamide Mea, Sodium Hydroxide, Parfum/Fragrance, Lactamide Mea, Dimethicone, Butylene Glycol, Ppg-1 Trideceth-6, Trideceth-6, Behentrimonium Chloride, Xylose, Ethylhexylglycerin, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Linalool, Dimethiconol, Benzophenone-4, Isopropyl Alcohol, Cetrimonium Chloride, Tocopherol, Camelina Sativa Seed Oil, Ascorbyl Glucoside, Olea Europaea Fruit Oil/Olive Fruit Oil, Benzyl Alcohol, Geraniol, Citronellol, Benzyl Salicylate, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Isoeugenol, BHT, Sodium Chloride, Melanin, Potassium Sorbate, Pentylene Glycol, Citric Acid.",https://www.ulta.com/p/color-fanatic-multi-tasking-leave-in-spray-xlsImpprod5800064
No.7 Bonding Oil,OLAPLEX,4.4,"Dimethicone, Isohexadecane, C13-14 Isoparaffin, Coco-Caprylate, Phenyl Trimethicone, Bis-Aminopropyl Diglycol Dimaleate, Propanediol, Zea Mays (Corn) Oil, Beta-Carotene, Helianthus Annuus (Sunflower) Seed Oil, Moringa Oleifera Seed Oil, Punica Granatum Seed Oil, Water (Aqua/Eau), Morinda Citrifolia Fruit Powder, Fragrance (Parfum), Hexyl Cinnamal, Eclipta Prostrata Extract, Ethylhexyl Methoxycinnamate, Limonene, Tocopherol, Citral, Linalool, Melia Azadirachta Leaf Extract, Citronellol, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate.",https://www.ulta.com/p/no7-bonding-oil-pimprod2029354
No.9 Bond Protector Nourishing Hair Serum,OLAPLEX,4.5,"Water (Aqua/Eau), Propanediol, Betaine, Quaternium-22, Sodium Hyaluronate, Bis-Aminopropyl Diglycol Dimaleate, Cetrimonium Chloride, Panthenol, Hydroxyethylcellulose, PVP, Guar Hydroxypropyltrimonium Chloride, Furcellaria Lumbricalis Extract, Pelvetia Canaliculata Extract, Xylitylglucoside, Polyquaternium-44, Anhydroxylitol, Maltitol, Citric Acid, Trisodium Ethylenediamine Disuccinate, Xylitol, Sorbic Acid, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Fragrance (Parfum), Citral, Citronellol, Hexyl Cinnamal, Limonene, Linalool.",https://www.ulta.com/p/no9-bond-protector-nourishing-hair-serum-pimprod2031995
Scalp Serum,Divi,4.6,"Water, Glycerin, Ascorbic Acid, Caffeine, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Camellia Sinensis (Green Tea) Leaf Extract, Rosemary Officinalis (Rosemary) Leaf Extract, Peppermint (Mentha Arvensis) Oil, Eucalyptus Globulus (Eucalyptus) Oil, Acetyl Tetrapeptide-3, Copper Tripeptide-1, Biotin, Hyaluronic Acid, Menthol, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, Glycine, Serine, Valine, Proline, Threonine, Isoleucine, Copper Gluconate, Histidine, Phenylalanine.",https://www.ulta.com/p/scalp-serum-pimprod2035929
